CRUD_privileges,data_group,description,end_timestamp,location,metric,print_str,short_hand,site,start_timestamp,statistic,unit_str
,scada,,3000-01-01T00:00:00Z,NRTA03,min_NRT_A03_rpm,Rotor speed,rpm,Norther,2000-01-01T00:00:00Z,min,
,scada,,3000-01-01T00:00:00Z,NRTA03,mean_NRT_A03_winddirection,Wind direction,winddirection,Norther,2000-01-01T00:00:00Z,mean,°
,acceleration,rms of accelerations measured at NRT_A03_NAC_ACC_SS,3000-01-01T00:00:00Z,NRTA03,rms_NRT_A03_NAC_ACC_SS,NAC ACC SS,NAC_ACC_SS,Norther,2000-01-01T00:00:00Z,rms,g
,scada,,3000-01-01T00:00:00Z,NRTA03,min_NRT_A03_pitch,Pitch,pitch,Norther,2000-01-01T00:00:00Z,min,°
,scada,,3000-01-01T00:00:00Z,NRTA03,mean_NRT_A03_pitch,Pitch,pitch,Norther,2000-01-01T00:00:00Z,mean,°
,ml/novelty-detection/fleetwide,mdl of Accelerations measured using NRT_A03_autoencoder_ACC_Z,3000-01-01T00:00:00Z,NRTA03,mdl_NRT_A03_autoencoder_ACC_Z,autoencoder ACC Z,autoencoder_ACC_Z,norther,2000-01-01T00:00:00Z,mdl,
,ml/novelty-detection/fleetwide,mdl of Accelerations measured using NRT_A03_autoencoder_ACC_SS,3000-01-01T00:00:00Z,NRTA03,mdl_NRT_A03_autoencoder_ACC_SS,autoencoder ACC SS,autoencoder_ACC_SS,norther,2000-01-01T00:00:00Z,mdl,
,acceleration,max of accelerations measured at NRT_A03_NAC_ACC_SS,3000-01-01T00:00:00Z,NRTA03,max_NRT_A03_NAC_ACC_SS,NAC ACC SS,NAC_ACC_SS,Norther,2000-01-01T00:00:00Z,max,g
,acceleration,rms of accelerations measured at NRT_A03_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA03,rms_NRT_A03_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,rms,g
,ml/novelty-detection/fleetwide,mdl of Accelerations measured using NRT_A03_OOD_ACC_FA,3000-01-01T00:00:00Z,NRTA03,mdl_NRT_A03_OOD_ACC_FA,OOD ACC FA,OOD_ACC_FA,norther,2000-01-01T00:00:00Z,mdl,
,ml/novelty-detection/fleetwide,mdl of Accelerations measured using NRT_A03_OOD_ACC_Z,3000-01-01T00:00:00Z,NRTA03,mdl_NRT_A03_OOD_ACC_Z,OOD ACC Z,OOD_ACC_Z,norther,2000-01-01T00:00:00Z,mdl,
,scada,,3000-01-01T00:00:00Z,NRTA03,std_NRT_A03_power,Power,power,Norther,2000-01-01T00:00:00Z,std,kW
,acceleration,min of accelerations measured at NRT_A03_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA03,min_NRT_A03_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,min,g
,acceleration,mean of accelerations measured at _NRT_A03_NAC_ACC_FA,3000-01-01T00:00:00Z,NRTA03,mean_NRT_A03_NAC_ACC_FA,NAC ACC FA,NAC_ACC_FA,Norther,2000-01-01T00:00:00Z,mean,g
,acceleration,max of accelerations measured at NRT_A03_NAC_ACC_FA,3000-01-01T00:00:00Z,NRTA03,max_NRT_A03_NAC_ACC_FA,NAC ACC FA,NAC_ACC_FA,Norther,2000-01-01T00:00:00Z,max,g
,acceleration,std of accelerations measured at NRT_A03_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA03,std_NRT_A03_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,std,g
